"pa_status","n_sites","n_plots","mean_ci_stem_density","mean_ci_dbh","mean_ci_height","mean_ci_cover","mean_ci_quality","mean_ci_composite"
"Mida Creek MNR",7,11,0.86734693877551,0.210886092725953,0.367503204534193,0.531746031746032,0.299378392211896,0.455372131998717
"Unprotected",15,25,0.929960317460317,0.151206045636529,0.240754419952867,0.22962962962963,0.29916989843434,0.370144062222736
