year,reef_revenue_nominal_kes_000,deflator_to_2024,reef_revenue_real_2024_kes_000,reef_revenue_real_2024_usd,resource_rent_lower_usd,resource_rent_central_usd,resource_rent_upper_usd,notes
2020,531523.8999999999,1.285,683008.2114999999,5066074.851654056,1519822.4554962171,1925108.4436285414,2279733.683244325,Provisional: attribution fraction pending Dr. Thoya validation
2021,556277.8999999999,1.211,673652.5369,4996681.033229492,1499004.3099688478,1898738.7926272068,2248506.464953271,Provisional: attribution fraction pending Dr. Thoya validation
2022,984547.8979499999,1.124,1106631.8372958,8208217.158402314,2462465.147520695,3119122.5201928797,3693697.721281041,Provisional: attribution fraction pending Dr. Thoya validation
2023,965609.4999999999,1.045,1009061.9274999998,7484512.145824061,2245353.6437472184,2844114.6154131433,3368030.465620827,2023 KeFS values are estimates; treat with caution
2024,1141458.5499999998,1,1141458.5499999998,8466537.234831626,2539961.170449488,3217284.149236018,3809941.7556742313,Provisional: attribution fraction pending Dr. Thoya validation
