SITE_ID,NAME_ENG,DESIG,DESIG_TYPE,FREQUENCY,SUM_area_ha
7422,Arabuko Sokoke,Forest Reserve,National,106,33.21
19566,Watamu,Marine National Park,National,103,1763.051602
478054,Kaya Chonyi,Not Reported,National,3,0.81
478055,Kaya Jibana,Not Reported,National,8,2.521453896
555555507,Lower Tana Delta Conservation Trust,Community Nature Reserve,National,8,0.455598823
555555582,Tana River Delta Ramsar Site,Wetland of International Importance (Ramsar Site),International,14,1.260128684
555621995,Watamu,Marine National Reserve,National,7,0.736171956
555759476,Mangrove Swamps,Forest Reserve,National,30,29.98733645
