Entry,Units,Watamu MNP,Arabuko Sokoke FR,Mangrove Swamps FR,Kaya Jibana,Tana River Delta Ramsar,Kaya Chonyi,Watamu MNR,Lower Tana Delta,Protected (de-duplicated),Unprotected,Total
Opening (2020),ha,--,--,--,--,--,--,--,--,--,--,6083.04
Additions,ha,--,--,--,--,--,--,--,--,--,--,589.10
Reductions,ha,--,--,--,--,--,--,--,--,--,--,-927.84
Closing (2025),ha,1763.05,33.21,29.99,2.52,1.26,0.81,0.74,0.46,3806.46,1935.18,5741.64
Net change,ha,--,--,--,--,--,--,--,--,--,--,-341.40
Net change (%),%, --,--,--,--,--,--,--,--,--,--,-5.6
