ecosystem_type,site,asset_id,area_ha,ci_canopy_height,ci_canopy_cover,ci_agbd,ci_pai,condition_index_composite,gedi_confidence,year
Mangrove Forests (MFT1.2),Morrumbene,1,512.1484932578019,0.17973529408333336,0,0.06592460852631579,0.0334323682051282,0.06977306770369433,HIGH,2025
Mangrove Forests (MFT1.2),Morrumbene,2,447.8275233233908,0.19124561399999998,0,0.06094618968421052,0.03807899076923077,0.07256769861336032,HIGH,2025
Mangrove Forests (MFT1.2),Morrumbene,3,108.78261041880727,0.2309444444166667,0,0.05480441147368422,0.038709869230769224,0.08111468128028004,MEDIUM,2025
