"site","pa_name","pa_type","live_coral_pct_Jul_2025","live_coral_pct_Nov_2024","pct_healthy_Jul_2025","pct_healthy_Nov_2024","pct_bleached_Jul_2025","pct_bleached_Nov_2024","pct_dead_Jul_2025","pct_dead_Nov_2024","mean_recruits_m2_Jul_2025","mean_recruits_m2_Nov_2024","ci_coral_cover_Jul_2025","ci_coral_cover_Nov_2024","ci_bleaching_Jul_2025","ci_bleaching_Nov_2024","ci_disease_Jul_2025","ci_disease_Nov_2024","ci_recruitment_Jul_2025","ci_recruitment_Nov_2024","ci_cots_Jul_2025","ci_cots_Nov_2024","bleach_change_ppt","dead_change_ppt","cover_change_ppt","bleaching_note"
"Watamu Coral Garden","Watamu Marine Park","No-take MPA",22.48,NA,91.4893617021277,70.8333333333333,0,0,8.51063829787234,29.1666666666667,0,0,0.749333333333333,NA,1,1,1,1,0,0,NA,1,0,-20.6560283687943,NA,"Jul 2025 surveys = ~15 months post-2024 bleaching event peak"
"Roka","Unprotected","Open access",NA,NA,100,NA,0,NA,0,NA,0.00617283950617282,NA,NA,NA,1,NA,1,NA,0.00617283950617282,NA,NA,1,NA,NA,NA,"Jul 2025 surveys = ~15 months post-2024 bleaching event peak"
"Wesa","Unprotected","Open access",NA,NA,100,89.7810218978102,0,0.72992700729927,0,5.10948905109489,0.141975308641975,0.0606060606060606,NA,NA,1,0.854014598540146,1,1,0.141975308641975,0.0606060606060606,NA,1,-0.72992700729927,-5.10948905109489,NA,"Jul 2025 surveys = ~15 months post-2024 bleaching event peak"
