SITE_ID,NAME_ENG,DESIG,DESIG_TYPE,FREQUENCY,SUM_area_ha
7422,Arabuko Sokoke,Forest Reserve,National,106,33.209999999983538
19566,Watamu,Marine National Park,National,103,1763.051601648788164
478054,Kaya Chonyi,Not Reported,National,3,0.810000000008300
478055,Kaya Jibana,Not Reported,National,8,2.521453896039900
555555507,Lower Tana Delta Conservation Trust,Community Nature Reserve,National,8,0.455598823237780
555555582,Tana River Delta Ramsar Site,Wetland of International Importance (Ramsar Site),International,14,1.260128683655000
555621995,Watamu,Marine National Reserve,National,7,0.736171956071000
555759476,Mangrove Swamps,Forest Reserve,National,30,29.987336453990697
