protected_area,frequency,area_ha
Barrière de Corail Nosy Ve Androka,1442,1909.437974
Complexe Zones Humides Mangoky Ihotry,476,186.8102909
Nosy Ve Androka,1442,1909.437974
Ranobe Bay,1275,4687.948302
Ranobe PK 32,31,121.4905169
Soariake,3023,8720.765482
Tsinjoriake,291,1536.347619
Velondriake,3501,3568.940509
