protected_area,frequency,area_ha
Barrière de Corail Nosy Ve Androka,1634,6591.491916
Complexe Zones Humides Mangoky Ihotry,245,193.2814194
Nosy Ve Androka,1634,6591.491916
Ranobe Bay,7106,13476.30291
Ranobe PK 32,701,454.9715946
Soariake,3586,17838.51409
Tsinjoriake,1213,1927.664397
Velondriake,2322,9462.382897
