"calendar_year","site","ecosystem_type","condition_indicator","reference_level","measured_value","condition_index"
2026,"ANDRAVONA","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2026,"ANKARAMIFIOKY","Coral reef (M1.3)","Fish biomass","500 kg/ha","3226.6 kg/ha","1.00"
2026,"ANKARAMIFIOKY","Coral reef (M1.3)","Fish species richness","103 species (max observed)","48 species","0.47"
2026,"ANKARAMIFIOKY","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2026,"BELAVENOKY","Coral reef (M1.3)","Fish biomass","500 kg/ha","2367.9 kg/ha","1.00"
2026,"BELAVENOKY","Coral reef (M1.3)","Fish species richness","103 species (max observed)","103 species","1.00"
2026,"BELAVENOKY","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2026,"BEVATO","Coral reef (M1.3)","Fish biomass","500 kg/ha","1662.7 kg/ha","1.00"
2026,"BEVATO","Coral reef (M1.3)","Fish species richness","103 species (max observed)","62 species","0.60"
2026,"BEVATO","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2026,"FIERENAMASAY","Coral reef (M1.3)","Fish biomass","500 kg/ha","862.8 kg/ha","1.00"
2026,"FIERENAMASAY","Coral reef (M1.3)","Fish species richness","103 species (max observed)","30 species","0.29"
2026,"FIERENAMASAY","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2026,"MOROMBE","Coral reef (M1.3)","Fish biomass","500 kg/ha","966.4 kg/ha","1.00"
2026,"MOROMBE","Coral reef (M1.3)","Fish species richness","103 species (max observed)","56 species","0.54"
2026,"MOROMBE","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2026,"RATAFENJIKA","Coral reef (M1.3)","Fish biomass","500 kg/ha","765.9 kg/ha","1.00"
2026,"RATAFENJIKA","Coral reef (M1.3)","Fish species richness","103 species (max observed)","39 species","0.38"
2026,"RATAFENJIKA","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2026,"SALARY","Coral reef (M1.3)","Fish biomass","500 kg/ha","3478.4 kg/ha","1.00"
2026,"SALARY","Coral reef (M1.3)","Fish species richness","103 species (max observed)","86 species","0.83"
2026,"SALARY","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2026,"TSANDAMBA","Coral reef (M1.3)","Fish biomass","500 kg/ha","2829.1 kg/ha","1.00"
2026,"TSANDAMBA","Coral reef (M1.3)","Fish species richness","103 species (max observed)","49 species","0.48"
2026,"TSANDAMBA","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
