"Sites","Indicator","Opening_Year","CI_Opening","Closing_Year","CI_Closing","CI_Change","Interpretation","Reference_Level"
"AMBATOMILO","COTS density (inverted)",2025,NA,2026,1,NA,"Stable","0 ind/ha (ideal)"
"AMBITIKY","COTS density (inverted)",2025,1,2026,NA,NA,"Stable","0 ind/ha (ideal)"
"AMBOHIBOLA","COTS density (inverted)",2025,1,2026,NA,NA,"Stable","0 ind/ha (ideal)"
"AMBOLA","COTS density (inverted)",2025,1,2026,NA,NA,"Stable","0 ind/ha (ideal)"
"AMBOLAFOTY","COTS density (inverted)",2025,1,2026,NA,NA,"Stable","0 ind/ha (ideal)"
"AMPASINDAVA","COTS density (inverted)",2025,NA,2026,1,NA,"Stable","0 ind/ha (ideal)"
"ANAKAO","COTS density (inverted)",2025,0.333333333333333,2026,NA,NA,"Stable","0 ind/ha (ideal)"
"ANDAVADOAKY","COTS density (inverted)",2025,NA,2026,1,NA,"Stable","0 ind/ha (ideal)"
"ANDRAVONA","COTS density (inverted)",2025,NA,2026,1,NA,"Stable","0 ind/ha (ideal)"
"ANKARAMIFIOKY","COTS density (inverted)",2025,NA,2026,1,NA,"Stable","0 ind/ha (ideal)"
"BEFASY","COTS density (inverted)",2025,1,2026,NA,NA,"Stable","0 ind/ha (ideal)"
"BEHELOKY","COTS density (inverted)",2025,0.333333333333333,2026,NA,NA,"Stable","0 ind/ha (ideal)"
"BELAVENOKY","COTS density (inverted)",2025,NA,2026,1,NA,"Stable","0 ind/ha (ideal)"
"BEVATO","COTS density (inverted)",2025,NA,2026,1,NA,"Stable","0 ind/ha (ideal)"
"FIERENAMASAY","COTS density (inverted)",2025,NA,2026,1,NA,"Stable","0 ind/ha (ideal)"
"FITSITIKA","COTS density (inverted)",2025,1,2026,NA,NA,"Stable","0 ind/ha (ideal)"
"IFATY","COTS density (inverted)",2025,1,2026,NA,NA,"Stable","0 ind/ha (ideal)"
"ITAMPOLO","COTS density (inverted)",2025,1,2026,NA,NA,"Stable","0 ind/ha (ideal)"
"MANGILY","COTS density (inverted)",2025,1,2026,NA,NA,"Stable","0 ind/ha (ideal)"
"MAROMENA","COTS density (inverted)",2025,1,2026,NA,NA,"Stable","0 ind/ha (ideal)"
"MOROMBE","COTS density (inverted)",2025,NA,2026,1,NA,"Stable","0 ind/ha (ideal)"
"NOSY SATRA","COTS density (inverted)",2025,1,2026,NA,NA,"Stable","0 ind/ha (ideal)"
"RATAFENJIKA","COTS density (inverted)",2025,NA,2026,1,NA,"Stable","0 ind/ha (ideal)"
"RETSELA","COTS density (inverted)",2025,0,2026,NA,NA,"Stable","0 ind/ha (ideal)"
"SALARY","COTS density (inverted)",2025,NA,2026,1,NA,"Stable","0 ind/ha (ideal)"
"TANILAHY","COTS density (inverted)",2025,1,2026,NA,NA,"Stable","0 ind/ha (ideal)"
"TSANDAMBA","COTS density (inverted)",2025,NA,2026,1,NA,"Stable","0 ind/ha (ideal)"
"AMBATOMILO","Fish biomass",2025,NA,2026,0.173376140586909,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"AMBITIKY","Fish biomass",2025,1,2026,NA,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"AMBOHIBOLA","Fish biomass",2025,0.877128690608702,2026,NA,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"AMBOLA","Fish biomass",2025,0.637103936308704,2026,NA,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"AMBOLAFOTY","Fish biomass",2025,0.732967213501078,2026,NA,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"AMPASINDAVA","Fish biomass",2025,NA,2026,0.211539010185732,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"ANAKAO","Fish biomass",2025,0.568227643498703,2026,NA,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"ANDAVADOAKY","Fish biomass",2025,NA,2026,0.657605426844849,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"ANDRAVONA","Fish biomass",2025,NA,2026,0.74598646844892,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"ANKARAMIFIOKY","Fish biomass",2025,NA,2026,1,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"BEFASY","Fish biomass",2025,0.2207540622309,2026,NA,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"BEHELOKY","Fish biomass",2025,1,2026,NA,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"BELAVENOKY","Fish biomass",2025,NA,2026,0.823603707965968,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"BEVATO","Fish biomass",2025,NA,2026,0.578328993852949,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"FIERENAMASAY","Fish biomass",2025,NA,2026,0.30008836892733,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"FITSITIKA","Fish biomass",2025,0.215977465655258,2026,NA,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"IFATY","Fish biomass",2025,0.20892823457966,2026,NA,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"ITAMPOLO","Fish biomass",2025,0.736496379510847,2026,NA,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"MANGILY","Fish biomass",2025,0.295428576204591,2026,NA,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"MAROMENA","Fish biomass",2025,0.38361256426008,2026,NA,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"MOROMBE","Fish biomass",2025,NA,2026,0.336130718852668,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"NOSY SATRA","Fish biomass",2025,0.293496267245514,2026,NA,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"RATAFENJIKA","Fish biomass",2025,NA,2026,0.266395154957583,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"RETSELA","Fish biomass",2025,1,2026,NA,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"SALARY","Fish biomass",2025,NA,2026,1,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"TANILAHY","Fish biomass",2025,0.578245273324646,2026,NA,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"TSANDAMBA","Fish biomass",2025,NA,2026,0.984023778968049,NA,"Stable","1,150 kg/ha (WIO conservation target; McClanahan et al. 2016)"
"AMBATOMILO","Fish species richness",2025,NA,2026,0.330097087378641,NA,"Stable","Max observed richness"
"AMBITIKY","Fish species richness",2025,0.553191489361702,2026,NA,NA,"Stable","Max observed richness"
"AMBOHIBOLA","Fish species richness",2025,0.563829787234043,2026,NA,NA,"Stable","Max observed richness"
"AMBOLA","Fish species richness",2025,0.74468085106383,2026,NA,NA,"Stable","Max observed richness"
"AMBOLAFOTY","Fish species richness",2025,0.319148936170213,2026,NA,NA,"Stable","Max observed richness"
"AMPASINDAVA","Fish species richness",2025,NA,2026,0.242718446601942,NA,"Stable","Max observed richness"
"ANAKAO","Fish species richness",2025,0.542553191489362,2026,NA,NA,"Stable","Max observed richness"
"ANDAVADOAKY","Fish species richness",2025,NA,2026,0.970873786407767,NA,"Stable","Max observed richness"
"ANDRAVONA","Fish species richness",2025,NA,2026,0.368932038834951,NA,"Stable","Max observed richness"
"ANKARAMIFIOKY","Fish species richness",2025,NA,2026,0.466019417475728,NA,"Stable","Max observed richness"
"BEFASY","Fish species richness",2025,0.287234042553192,2026,NA,NA,"Stable","Max observed richness"
"BEHELOKY","Fish species richness",2025,0.819148936170213,2026,NA,NA,"Stable","Max observed richness"
"BELAVENOKY","Fish species richness",2025,NA,2026,1,NA,"Stable","Max observed richness"
"BEVATO","Fish species richness",2025,NA,2026,0.601941747572815,NA,"Stable","Max observed richness"
"FIERENAMASAY","Fish species richness",2025,NA,2026,0.29126213592233,NA,"Stable","Max observed richness"
"FITSITIKA","Fish species richness",2025,0.574468085106383,2026,NA,NA,"Stable","Max observed richness"
"IFATY","Fish species richness",2025,0.723404255319149,2026,NA,NA,"Stable","Max observed richness"
"ITAMPOLO","Fish species richness",2025,0.723404255319149,2026,NA,NA,"Stable","Max observed richness"
"MANGILY","Fish species richness",2025,1,2026,NA,NA,"Stable","Max observed richness"
"MAROMENA","Fish species richness",2025,0.436170212765957,2026,NA,NA,"Stable","Max observed richness"
"MOROMBE","Fish species richness",2025,NA,2026,0.54368932038835,NA,"Stable","Max observed richness"
"NOSY SATRA","Fish species richness",2025,0.414893617021277,2026,NA,NA,"Stable","Max observed richness"
"RATAFENJIKA","Fish species richness",2025,NA,2026,0.378640776699029,NA,"Stable","Max observed richness"
"RETSELA","Fish species richness",2025,0.74468085106383,2026,NA,NA,"Stable","Max observed richness"
"SALARY","Fish species richness",2025,NA,2026,0.83495145631068,NA,"Stable","Max observed richness"
"TANILAHY","Fish species richness",2025,0.382978723404255,2026,NA,NA,"Stable","Max observed richness"
"TSANDAMBA","Fish species richness",2025,NA,2026,0.475728155339806,NA,"Stable","Max observed richness"
