"calendar_year","site","ecosystem_type","condition_indicator","reference_level","measured_value","condition_index"
2026,"ANDRAVONA","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2026,"ANKARAMIFIOKY","Coral reef (M1.3)","Fish biomass","1150 kg/ha","1290.6 kg/ha","1.00"
2026,"ANKARAMIFIOKY","Coral reef (M1.3)","Fish species richness","103 species (max observed)","48 species","0.47"
2026,"ANKARAMIFIOKY","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2026,"BELAVENOKY","Coral reef (M1.3)","Fish biomass","1150 kg/ha","947.1 kg/ha","0.82"
2026,"BELAVENOKY","Coral reef (M1.3)","Fish species richness","103 species (max observed)","103 species","1.00"
2026,"BELAVENOKY","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2026,"BEVATO","Coral reef (M1.3)","Fish biomass","1150 kg/ha","665.1 kg/ha","0.58"
2026,"BEVATO","Coral reef (M1.3)","Fish species richness","103 species (max observed)","62 species","0.60"
2026,"BEVATO","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2026,"FIERENAMASAY","Coral reef (M1.3)","Fish biomass","1150 kg/ha","345.1 kg/ha","0.30"
2026,"FIERENAMASAY","Coral reef (M1.3)","Fish species richness","103 species (max observed)","30 species","0.29"
2026,"FIERENAMASAY","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2026,"MOROMBE","Coral reef (M1.3)","Fish biomass","1150 kg/ha","386.6 kg/ha","0.34"
2026,"MOROMBE","Coral reef (M1.3)","Fish species richness","103 species (max observed)","56 species","0.54"
2026,"MOROMBE","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2026,"RATAFENJIKA","Coral reef (M1.3)","Fish biomass","1150 kg/ha","306.4 kg/ha","0.27"
2026,"RATAFENJIKA","Coral reef (M1.3)","Fish species richness","103 species (max observed)","39 species","0.38"
2026,"RATAFENJIKA","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2026,"SALARY","Coral reef (M1.3)","Fish biomass","1150 kg/ha","1391.4 kg/ha","1.00"
2026,"SALARY","Coral reef (M1.3)","Fish species richness","103 species (max observed)","86 species","0.83"
2026,"SALARY","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2026,"TSANDAMBA","Coral reef (M1.3)","Fish biomass","1150 kg/ha","1131.6 kg/ha","0.98"
2026,"TSANDAMBA","Coral reef (M1.3)","Fish species richness","103 species (max observed)","49 species","0.48"
2026,"TSANDAMBA","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
